"cd","twoway18","twoway16","fund_diff","open_seat","IE_diff","rscandal_ai","dscandal_ai","total_funding","r_incumbent_running","d_incumbent_running","nnu","m4a_total_tone_weight","dchallengerwoman_ai","dchallengerpersonofcolor_ai","dchallengermiliarybackground_ai","d_ideo"
"NE02",49,49,0.00506397947063641,0,-14.1501961995746,0,0,15.474147212041,"Yes","No",1,0.595173992861078,1,0,0,-3.04112678
"NE03",23,21,-2.72714731457275,0,0,0,0,14.0804639139936,"Yes","No",1,0.256438743407337,0,0,0,-1.370200148
"NH01",55,49,0.559647205402586,1,13.3115645486232,0,0,15.0646948821724,"No","No",0,0.685289620392854,0,0,0,-2.45782079
"NH02",57,52,1.98798473655755,0,0,0,0,15.1594673417524,"No","Yes",0,NA,0,0,0,-2.20341805
"NJ01",66,63,5.05463932272928,0,0,0,0,14.6076684673886,"No","Yes",1,-0.693147180559945,0,0,0,-1.97930487
"NJ02",54,47,1.79864560309587,1,9.30264604276021,0,0,14.609116758454,"No","No",0,1.28847096480963,0,0,0,-0.807512829
"NJ03",51,47,0.297026125460168,0,-0.306812372500637,0,0,16.2335887520481,"Yes","No",0,0.0975800946089188,0,1,0,-2.55715087
"NJ04",44,42,0.340450203013809,0,0,0,0,14.9714127064626,"Yes","No",0,NA,0,0,1,-2.09942346
"NJ05",57,49,2.01026635941774,0,13.3130184471544,0,0,15.8871698173368,"No","Yes",0,NA,0,0,0,-1.54775127
"NJ06",64,58,NA,0,0,0,0,NA,"No","Yes",0,-0.323461166499944,0,0,0,-1.93030239
